Company,Year,Region,Revenue,Expenses,Profit
AlphaCorp,2023,North America,500000,350000,150000
BetaTech,2023,Europe,300000,200000,100000
GammaIndustries,2023,Asia,700000,500000,200000
DeltaEnterprises,2023,South America,400000,250000,150000
EpsilonHoldings,2023,Africa,200000,150000,50000
AlphaCorp,2022,North America,450000,300000,150000
BetaTech,2022,Europe,280000,180000,100000
GammaIndustries,2022,Asia,650000,450000,200000
DeltaEnterprises,2022,South America,380000,230000,150000
EpsilonHoldings,2022,Africa,190000,140000,50000
AlphaCorp,2021,North America,400000,280000,120000
BetaTech,2021,Europe,260000,160000,100000
GammaIndustries,2021,Asia,600000,400000,200000
DeltaEnterprises,2021,South America,350000,200000,150000
EpsilonHoldings,2021,Africa,180000,130000,50000
